FIPS_Code	State_Abbrv	Rate
22125	LA	139
22127	LA	128
23001	ME	244
23003	ME	244
23005	ME	244
23007	ME	244
23009	ME	244
23011	ME	244
23013	ME	244
23015	ME	244
23017	ME	244
23019	ME	244
23021	ME	244
23023	ME	244
23025	ME	244
23027	ME	244
23029	ME	244
23031	ME	244
24001	MD	220
24003	MD	220
24005	MD	220
24009	MD	220
24011	MD	220
24013	MD	220
24015	MD	220
24017	MD	220
24019	MD	220
24021	MD	220
24023	MD	220
24025	MD	220
24027	MD	220
24029	MD	220
24031	MD	220
24033	MD	220
24035	MD	220
24037	MD	220
24039	MD	220
24041	MD	220
24043	MD	220
24045	MD	220
24047	MD	220
24510	MD	220
25001	MA	210
25003	MA	231
25005	MA	210
25007	MA	210
25009	MA	264
25011	MA	231
25013	MA	231
25015	MA	231
25017	MA	264
25019	MA	210
25021	MA	264
25023	MA	264
25025	MA	264
25027	MA	264
26001	MI	180
26003	MI	201
26005	MI	201
26007	MI	180
26009	MI	180
26011	MI	180
26013	MI	201
26015	MI	194
26017	MI	180
26019	MI	201
26021	MI	194
26023	MI	194
26025	MI	194
26027	MI	194
26029	MI	180
26031	MI	180
26033	MI	180
26035	MI	180
26037	MI	194
26039	MI	180
26041	MI	201
26043	MI	201
26045	MI	194
26047	MI	180
26049	MI	208
26051	MI	180
26053	MI	201
26055	MI	180
26057	MI	180
26059	MI	194
26061	MI	201
26063	MI	180
26065	MI	194
26067	MI	201
26069	MI	180
26071	MI	201
26073	MI	180
26075	MI	208
26077	MI	194
26079	MI	180
26081	MI	201
26083	MI	201
26085	MI	201
26087	MI	208
26089	MI	180
26091	MI	208
26093	MI	208
26095	MI	180
26097	MI	180
26099	MI	208
26101	MI	201
26103	MI	201
26105	MI	201
26107	MI	201
26109	MI	201
26111	MI	180
26113	MI	180
26115	MI	208
26117	MI	201
26119	MI	180
26121	MI	201
26123	MI	201
26125	MI	208
26127	MI	201
26129	MI	180
26131	MI	201
26133	MI	180
26135	MI	180
26137	MI	180
26139	MI	201
26141	MI	180
26143	MI	180
26145	MI	180
26147	MI	208
26149	MI	194
26151	MI	208
26153	MI	180
26155	MI	208
